Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
SPINT2,vsBoth,2209,3,2,22.7300812227322,1.15937939031849e-05,1.67283574092705e-05,-4.55238680541584,-3.12358413094266,2.79760299108086,5.30407003857016e-06,0.00178662779993587,0.00514833506819052,1.96843204387686e-05,0.00533087549433525,0.0142602508300975
DOK7,vsBoth,2209,3,2,22.6347172696424,1.21600005667178e-05,1.75238559108351e-05,-4.68288418165535,-3.53815743457565,2.29314279094779,2.82866355011563e-06,0.000402929737865974,0.0218397855127351,1.06521561392214e-05,0.0013015932661792,0.0537605546444211
ENTPD8,vsBoth,2209,3,2,22.1853561883545,1.52233809102555e-05,2.18553284203499e-05,-4.69682152873808,-4.17878813977436,1.16657214854612,2.64241141900916e-06,2.93066529181484e-05,0.243383196326362,9.96410082257592e-06,0.000104081630014394,0.496837293321419
OPTN,vsBoth,2209,3,2,21.7186845406095,1.92241689648108e-05,2.74688358084024e-05,-4.41924460710408,-2.97710332748438,2.81494112262257,9.90464925333075e-06,0.00290985922212901,0.00487861710810318,3.62224463358833e-05,0.00839973288788812,0.0135616324829578
FN1,vsBoth,2209,3,2,21.609562702447,2.03021990291669e-05,2.89545655488953e-05,-3.31491096016776,-4.5344102435846,-2.02789283427444,0.000916723196373596,5.77646592802112e-06,0.0425711866479421,0.00283641073221865,2.13958889665268e-05,0.0997162594524396
C4orf3,vsBoth,2209,3,2,21.1024058202656,2.6161991407496e-05,3.71617005301225e-05,-4.44377527336213,-3.16406863311382,2.5239872419446,8.83939337598005e-06,0.00155580102076342,0.0116032139561748,3.24465014043971e-05,0.00468026815482851,0.0300594233371272
PSMB3,vsBoth,2209,3,2,20.9003738724114,2.89428623236094e-05,4.10210902304472e-05,-4.54446403160438,-3.600442541408,1.92520483959385,5.50752103600522e-06,0.000317676027632218,0.0542037368880657,2.04152776019607e-05,0.00103779343956724,0.12480768368555
NOXO1,vsBoth,2209,3,2,20.7314395668182,3.14938023145769e-05,4.45650754455402e-05,-4.42278948455095,-3.18959349504028,2.4392771013677,9.7434668530986e-06,0.00142473045089832,0.0147166785252102,3.56573681222204e-05,0.00430632086436107,0.0374414145657083
RNF213,vsBoth,2209,3,2,20.0364879079016,4.45791652943805e-05,6.27255983633121e-05,-4.17512381424936,-2.69878248704088,2.86425690589511,2.9782402713947e-05,0.00695936459973476,0.00417988851299192,0.000105729111280965,0.0188222778569067,0.011762988891111
SELENOM,vsBoth,2209,3,2,19.4778799248106,5.894298351513e-05,8.24385276696109e-05,-2.41588113940585,-3.99906550748315,-2.72700836444138,0.0156971845280323,6.35930783848057e-05,0.00639114189521828,0.0397581715539505,0.000220747153437793,0.0174069511725227
CCN2,vsBoth,2209,3,2,19.1253022963665,7.03061593206058e-05,9.79564657691421e-05,-4.29437387611209,-4.08583546569568,0.589751562441396,1.7518703737075e-05,4.391849399377e-05,0.55535722081056,6.31098173426269e-05,0.000153819714571932,1
HR,vsBoth,2209,3,2,19.0722805862815,7.21949619821469e-05,0.000100528651665296,-4.15466470333783,-2.82266619401042,2.60359707584868,3.25764891752343e-05,0.00476261304368051,0.00922511384282793,0.00011534963173629,0.0132598407095974,0.0243709251635999
STOM,vsBoth,2209,3,2,19.0675235957133,7.23668817328675e-05,0.000100754809467594,-3.89161936280555,-2.26465759462703,3.1210158699908,9.95773797474073e-05,0.0235336996186505,0.00180228321209,0.000340203099350402,0.0576252375552286,0.00537488855767058
ACTA2,vsBoth,2209,3,2,18.3881263574367,0.000101641038846807,0.000140589402222509,-4.09367659778312,-4.15220165813203,0.0993387526538969,4.24586417373137e-05,3.2929189300593e-05,0.920869310401835,0.000148911545306142,0.000116521351513076,1
KRTCAP3,vsBoth,2209,3,2,18.0643952688315,0.000119499587985857,0.000164786014832474,-2.33948504201658,-3.85773904505144,-2.61403304734567,0.019310344819101,0.000114440734949239,0.00894803810351711,0.0480465953236978,0.000389143614396605,0.0236904392148071
LINC02649,vsBoth,2209,3,2,18.0347865260155,0.000121281864459345,0.000167211091236849,-3.95043112199252,-2.53700405376239,2.73985898898408,7.80105461336262e-05,0.01118056594828,0.00614655490452892,0.00026870075912238,0.0290574090383494,0.0167938212427526
DISP3,vsBoth,2209,3,2,18.0296531339463,0.000121593557980065,0.000167619024111002,-3.02623067065743,-4.14129539942777,-1.85446962336934,0.00247623314960014,3.45349848902811e-05,0.06367200210917,0.00723075223186177,0.000121977539261769,0.144914300923275
NXPH4,vsBoth,2209,3,2,17.8745852961329,0.000131396295077772,0.000180814878279725,-3.46591759474585,-4.22144519461042,-1.18577421242899,0.000528425211895894,2.42740977841532e-05,0.235711477949124,0.00168419592834905,8.66286420621252e-05,0.482650320395269
LMTK3,vsBoth,2209,3,2,17.8258464984201,0.000134637678674493,0.000185155188801094,-2.21743581833203,-3.77742302548739,-2.69520110853822,0.0265933243482774,0.000158459456581032,0.00703461586242647,0.0645642983382747,0.000531791328461904,0.0190123407838906
LINC01770,vsBoth,2209,3,2,17.6194883728558,0.000149271436714426,0.000204947372444213,-2.40054641997765,-3.85431814728224,-2.49499330626724,0.0163706142533714,0.00011605260567176,0.012595950627192,0.0413170847629334,0.000394398909895424,0.0323958181907842
CLDN4,vsBoth,2209,3,2,17.2410753458371,0.000180363252189371,0.000246550321460333,-4.13773202185596,-3.33448824085937,1.65165099573076,3.50755687153392e-05,0.000854565136183498,0.0986057178367479,0.000123772435747866,0.00265514956732635,0.21697883300307
ENO1,vsBoth,2209,3,2,17.0003892354262,0.000203428774315023,0.000277471875316915,-4.09361423828834,-3.73915761880792,0.842188135005729,4.24700679887659e-05,0.000184637935926835,0.399682654100843,0.000148941851656058,0.000616435730896197,0.779142965625519
KRTCAP2,vsBoth,2209,3,2,16.9172845167386,0.000212059797715493,0.000289058430791488,-3.59965194842677,-2.01157543313335,3.03647768850603,0.000318643394129486,0.0442647112431397,0.0023935982260602,0.00104082649836652,0.103402272653677,0.00700666954585622
GPX4,vsBoth,2209,3,2,16.8237631089023,0.000222211360555955,0.000302623641715455,-4.08715197581082,-3.65582961345291,0.980127708835391,4.36701066848416e-05,0.000256351587950882,0.327023083095028,0.000152989843779362,0.00084478495319431,0.649262713014401
ARPC2,vsBoth,2209,3,2,16.7793573421723,0.00022720027264724,0.000309258996015885,-3.60400645998082,-4.08901755443693,-0.692279548318264,0.000313349262198319,4.3320407182586e-05,0.488761791074679,0.0010243469554277,0.000151824414136597,0.933333442709933
CD44,vsBoth,2209,3,2,16.7392600285493,0.000231801301046973,0.000315420548459695,-2.76536895176727,-3.93892857373975,-1.97272599525026,0.00568584457930212,8.18462894539592e-05,0.0485267886131866,0.0156284743221587,0.000281387069586553,0.112674348795415
NR4A1,vsBoth,2209,3,2,16.5742757264061,0.000251733929589122,0.000342016821035381,-3.14808034395869,-4.03571050348461,-1.43928044002484,0.00164346515036143,5.44373063850181e-05,0.150071082415902,0.004928736502413,0.000189741137382389,0.319524678322953
