Gene,Pattern_6 x Pattern_7,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
COX7A2,vsPattern_7,431,3,2,15.2829385186476,0.000480122509105674,0.0109768322860586,-1.85757855192542,-3.90830582088963,-1.08641180634439,0.0632288866549621,9.29456069284125e-05,0.277296840479652,0.102359732214481,0.000616983098281072,0.372770565694153
SNHG25,vsBoth,431,3,2,15.2784825587826,0.000481193404945332,0.010986934907425,-2.21446362700242,-3.89494013510257,-0.678478263714735,0.0267969021563729,9.82229856345767e-05,0.497468501064851,0.0478067797898928,0.000641553726877392,0.612835373844693
ZFAND5,vsBoth,431,3,2,15.2616683251297,0.000485255907154178,0.0110508017343703,-2.2071220372001,-3.89341335949896,-0.685416197478629,0.027305534577762,9.88435146559266e-05,0.49308132583908,0.048513287677243,0.000643772108498165,0.608264473873409
RAD23B,vsBoth,431,3,2,15.2623764007354,0.000485084138627083,0.0110508017343703,-3.36719009348419,-3.38866287188775,1.01280785132177,0.000759383237723333,0.000702343038691677,0.311151949785817,0.00264753162942487,0.00251100208105043,0.411592453143459
TOM1,vsBoth,431,3,2,15.2502551255844,0.000488032984702322,0.0110995731039003,-3.02173694058353,-3.64561417505474,0.421049810586622,0.0025132885780938,0.000266753945814518,0.673718709645107,0.00633681019914067,0.00130729796345741,0.784172981389565
RPL34,vsPattern_7,431,3,2,15.2475770313378,0.000488686921595027,0.011099992795189,-1.8481968652241,-3.90358415778546,-1.09304208668919,0.0645738687572138,9.47785723963945e-05,0.274375321529583,0.104242195213111,0.000626374859337349,0.369395654569786
C7orf50,vsBoth,431,3,2,15.2431281628197,0.000489775183460109,0.0111102638045425,-3.37966701406083,-3.37201269226521,1.04012724184033,0.000725736983505042,0.000746210094723849,0.29828078877662,0.00257122528082941,0.00261173533153347,0.397059794064612
ILK,vsBoth,431,3,2,15.224565586237,0.000494342088734375,0.0111912577618437,-2.64173923696518,-3.80300446674083,-0.128815577137621,0.00824815322777852,0.000142951777146506,0.897503579451883,0.0173130315766635,0.000841125554406899,0.981357928480963
POMP,vsBoth,431,3,2,15.2222593965669,0.000494912440815481,0.0111912577618437,-2.42001299557635,-3.85721698420704,-0.419300427559479,0.0155199524400493,0.000114685348570238,0.674996584140051,0.0296920673757265,0.000717821666399236,0.785253598013302
SLC16A5,vsBoth,431,3,2,15.220823958587,0.000495267776372884,0.0111912577618437,-2.882332787245,-3.71167717525005,0.212612641297727,0.00394742585675414,0.000205890474111564,0.831629110548273,0.00932198202850926,0.00107589743099694,0.925542650521035
AGTRAP,vsPattern_7,431,3,2,15.1996281360894,0.000500544492005186,0.0112349506208431,-1.30703619129295,-3.83825224530454,-1.64254114471336,0.191200420339711,0.000123913155057808,0.100477906576613,0.271916040824892,0.000755015364644613,0.154059267197305
FBLIM1,vsBoth,431,3,2,15.2059924271024,0.000498954218182427,0.0112349506208431,-3.24104909626445,-3.48890610514793,0.791550590363662,0.00119090671246561,0.000485001479780621,0.428622766608167,0.00352100971435556,0.00196499084686164,0.541228073373729
PFDN5,vsBoth,431,3,2,15.1996709551289,0.000500533775702716,0.0112349506208431,-2.86701995323585,-3.71511643462097,0.19279711436156,0.00414356887467109,0.000203110147343685,0.84711786349817,0.00967837684420489,0.00107007854884235,0.938816396197188
CYTH1,vsBoth,431,3,2,15.1975667760614,0.000501060659165098,0.0112349506208431,-3.58379058031792,-3.10784698827033,1.48043206584671,0.000338643635125292,0.00188455611657626,0.138757977853764,0.00154976017948377,0.00502026982092098,0.205530109582999
PCYT2,vsBoth,431,3,2,15.1982261054781,0.000500895504373386,0.0112349506208431,-2.22565931577314,-3.88290301372362,-0.656306872603029,0.0260370098289447,0.000103216745014245,0.51162669647516,0.0466920679055376,0.000665503661540913,0.627404767376339
MYCBP2,vsBoth,431,3,2,15.1932306103906,0.000502148178669914,0.0112449003036249,-2.57103711241774,-3.81848621120707,-0.219986358107365,0.0101394460536027,0.000134273088018207,0.825881779128053,0.0205997606532054,0.000805638528109243,0.921089535046824
SNHG8,vsBoth,431,3,2,15.1738943490696,0.000507026557273541,0.0113396067553098,-2.75311333916664,-3.7575850057364,0.0317721713442215,0.00590314557485721,0.000171561095079008,0.974653739478274,0.0130298311460748,0.000954587183980976,1
SH3PXD2A,vsBoth,431,3,2,15.1514345746408,0.000512752498991335,0.0114383753510621,-2.60539487144959,-3.80272582932129,-0.169035494057846,0.00917684306734692,0.000143112709428526,0.86576872287415,0.0189612564343251,0.000841125554406899,0.954086473907903
